"Angabe_im_Text";"Normalisierte_Stelle";"Kurzzitat";"Wetterphänomen";"Konflikt"
"37. Ca. Hiobs";"Hiob 37,2-5";"Lieber höret doch / wie sein Donner zürnet";"Donner, Blitz";
"Hiob am 32. Cap.";"Hiob 37,5";"Gott donnert mit seinem donner grewlich";"Donner";"⚠️ Kapitelangabe abweichend (Zitatinhalt steht in Kap. 37)"
"Hiob am 1. Cap.";"Hiob 1,18-19";"Historig zeuget von Hiobs Sönen vnd Töchtern";"Wind";
"Deut. am 18.";"Dtn 18,10-12";"Hüte dich das vnter dir nicht funden werd / ein warsager";;"Stelle verifiziert (Verbot der Zauberei)"
"Hiob 38.";"Hiob 38,35";"Kanstu die blitz außlassen das sie hinfaren";"Blitz";
"klagliedern Hieremie ... am 3. Cap.";"Klgl 3,37-38";"Wer thar den sagen/ das solches geschehe / on des Herrn befehl";;
"Exodi am 9. Cap.";"Ex 9,22-26";"Moses seine hende gen himel hebt / vnd so groß donnern vnd blitzen";"Donner, Blitz, Hagel";
"Exod: 20.";"Ex 20,1-17";"Gott auß seinem wozt nicht erkeise noch in forchten";;
"Matth 22.";"Mt 22,37-39";"lieben vnd vertrawen wil";;
"Hiob am 36.";"Hiob 36,30";"Er breitet seinen blitz aus";"Blitz";
"32,";"Hiob 37,2";"Lieber hoͤret doch wie sein donner zurnet";"Donner";"⚠️ Rückbezug auf Hiob, aber Kapitelangabe 32 falsch (Text aus Kap. 37)"
"5. vu- Psal.";"Ps 5,5";"Gott ist ein Gott / dem Gottlos wesen nicht gefelt";;
"Am andern Buch Mose im 9.";"Ex 9,18";"ein sehr grossen hagel regen lassen";"Hagel, Regen";
"Deut. 28.";"Dtn 28,38-42";"Du wirst viel samens außfuͤren... Denn die heuschrecken werdens abfresse";"Dürre";
"Amos am 2-Cap.";"Am 4,6-8";"mangel an brot... Auch hab ich den regen pber euch verhalten";"Regen, Dürre";"⚠️ Kapitelangabe abweichend (Text steht in Kap. 4)"
"Haggai am ersten Cap.";"Hag 1,6-11";"Ir seet viel/ vnd bringt wenig ein... himel vber euch den thaw verhalten";"Tau, Dürre";
"Micha Cap. 6.";"Mi 6,6-8";"Wo mit soll ich den HERRN versönen?";;
"Hiob am 3.";"Hiob 37,4-5";"Wen sein donner gehoͤtt wirt / so kan man in nicht auffhalten";"Donner";"⚠️ Kapitelangabe abweichend (Text steht in Kap. 37)"
"50. Psal.";"Ps 50,15";"Ruͤffe mich an in der not";;
"Johan: am 16.";"Joh 16,23";"Was jr den Vatter in meinem Namen bitten werdet";;
"Johan. 9. Cap.";"Joh 9,31";"daß Gott die Sünder nicht hört (Paraphrase)";;
"Moses Leuttam 26.";"Lev 26,3-6";"So wil ich euch regen geben zu seiner zeit";"Regen";
"5. buch Mose am 28. Cap.";"Dtn 28,12";"das er deinem lande regen gebe in seiner zeit";"Regen";
"Hiere: Cap: 18.";"Jer 18,7-8";"Wo es sich aber bekeret... so sol mich auch rewen das vnglück";;
"Maleachiam 2. Cap.";"Mal 3,10";"ob ich euch nicht des himels fenster auff thun werde";"Regen";"⚠️ Kapitelangabe abweichend (Text steht in Kap. 3)"
"Syrach Cap. 40.";"Sir 40,9-10";"Fewr / Hagel / Hunger / Tod / solchs alles ist zur rache geschaffen";"Hagel, Feuer, Flut";
``` [1-9, 14-23]
