"Angabe_im_Text";"Normalisierte_Stelle";"Kurzzitat";"Wetterphänomen";"Konflikt"
"Esaiæ 26";"Jes 26,16";"HERR/ Wenn trübsal da ist / so sücht man dich";"";""
"Jeremias... 17. Cap.";"Jer 17,9";"Des Menschen hertz ist ein trutzig vnd verzagt ding";"";""
"";"Mt 6,11";"vmb das täglich Brot bitten";"";""
"zoͤhen Gebott";"Ex 20,3";"Wir sollen nicht frembde Götter haben";"";""
"Esaie 45";"Jes 45,6–7";"Ich bin der HERR / vnd keiner meer";"";""
"Jeremias... Klagliedern 3. Cap.";"Klag 3,37–39";"Wer darff sagen / das solches geschehe on des HEErren befelch?";"";""
"Amos 3";"Am 3,6";"Ist auch ein Vnglück in der Stadt / das der Herr nich thuͤe?";"";""
"Leuit. 26. Deut. 28";"Lev 26; Dtn 28";"der Herr wirt dich schlagen / mit hunger / kranckheit";"";""
"Psal. 18";"Ps 18,14";"Der HErr donnerte im Himmel... mit Hagel vn Blitzen.";"Donner, Hagel, Blitze";""
"Psal. 148";"Ps 148,7-8";"Fewer / Hagel / Schnee vnd Dampff / Sturmwindt";"Hagel, Schnee, Sturmwind";""
"Hiob 38";"Hiob 38,22";"Bistu gewesen / da der Schnee herkompt?";"Schnee, Hagel";""
"Syrach. 40";"Sir 40,9";"Fewer / Hagel / Hunger / Todt / solches alles ist zuͤr Raach geschaffen.";"Hagel";""
"Exo. 9";"Ex 9,22–24";"recket Moses sein Stab gen Himmel / vnd der HERR ließ donnern vnd hageln";"Donner, Hagel";""
"78. Psalm";"Ps 78,47";"Er schlug jre Weinstoͤck mit Hagel / vne jre Maulberbaͤwm mit Schlossen";"Hagel, Schlossen";""
"Josue 10";"Jos 10,11";"ließ der HERR ein grossen Hagel vom Himmel auff sie fallen";"Hagel";""
"Haggai 2";"Hag 2,17";"Ich plagte euch mit duͤrre / Brandtkorn vnd Hagel";"Dürre, Hagel";""
"Joan. 5";"Joh 5,17";"Mein Vatter wircket bißher / vnd ich wircke auch";"";""
"Matth. 10";"Mt 10,29";"Es fellet kein Sperling auff die Erden / on den willen GOTTES";"";""
"Psalm. 104 / Hebr. 1";"Ps 104,4; Hebr 1,7";"Der du machest deine Engel zu Winden / vnd deine Diener zuͤ Fewerflammen";"Wind";""
"vorangezogen 78. Psalm";"Ps 78,49";"Gott boͤse Engel vnder sie sandte";"";""
"Ephes. 2";"Eph 2,2";"boͤse Geyster / so in den Luͤffren herischen";"";""
"Job 38";"Hiob 38,10–11";"Ich hab jme Rigel vnd thuͤr gesetzt... Biß hieher soltu kommen";"";""
"Numer. 22. und 23";"Num 23,8";"koͤnne denen nicht fluͤchen / denen GOtt nicht fluͤche";"";""
"Jobs";"Hiob 1–2";"Die gantze Histori Jobs";"";""
"3. Reg. 22";"1. Kön 22,19–23";"falsch Geist... die Propheten Achabs nit betriegen";"";"⚠️ Buchzählung abweichend (3. Regum = 1. Könige)"
"Matth. 8";"Mt 8,31";"Teuffel... in die Sew faren";"";""
"Luc. 22";"Lk 22,32";"Ich hab fur dich gebetten Petre / dz dein Glaub nicht auff hoͤre";"";""
"Exo. 22";"Ex 22,17";"Die Zawberinnen soltu nicht leben lassen.";"";""
"Leuit. 20";"Lev 20,27";"Wan ein man oder weib ein Warsager... die sollen des Todts sterben";"";""
"Matth. 13";"Mt 13,24–30";"vnkrauts vmb des weitzen willen verschonen... biß zuͤr Erndt";"";""
"Prediger am 7. Cap.";"Koh 7,16";"Sey nicht all zuͤgerecht";"";""
"Jeremie 30";"Jer 30,14";"Ich hab dich geschlagen / wie ich einen Feindt schluͤge";"";""
"Haggai... erst vnd ander Capitel";"Hag 1,9–10";"mein Hauß... so wuͤst steher... Himmel uͤber euch den Taw verhalten";"Tau, Dürre";""
"Malach. 3";"Mal 3,8–9";"Ir teiischend mich am Zehenden... seind fr auch verfluͤcht";"";""
"Amos 4";"Am 4,7";"ließ ich regnen iber eine Statt / vnd auff die ander ließ ich nicht regnen";"Regen";""
"Leuit. 19. Deut. 18. Esa. 8";"Lev 19,31; Dtn 18,10; Jes 8,19";"";"";""
"";"1. Sam 28";"rath bey einem Weib / die ein Warsagern Geist heit / gesuͤcht";"";""
"Micha am 7. Cap.";"Mi 7,9";"Ich wil des Herrn zorn tragen / dann ich hab wider in gesuͤndigt";"";""
"Abac. 4";"Hab 3,2";"mitten im zorn der barmhertzigkeit gedenckt";"";"⚠️ Kapitelangabe fehlerhaft (Habakuk hat nur 3 Kapitel)"
"Ezech. 33 (Rand)";"Ez 33,11";"Er woͤlle nicht den Todt des Sunders / sonder das er sich bekere";"";""
"Rom. 8 (Rand)";"Röm 8,28";"denen / die Gott lieben / alle ding zuͤm besten dienen";"";""
"Rom. 8 (Rand)";"Röm 8,18";"diser zeit leiden / der herrligkeit nicht werdt sey";"";""
