"Angabe_im_Text";"Normalisierte_Stelle";"Kurzzitat";"Wetterphänomen";"Konflikt"
"Ps.18";"Ps 18,8-14";"Erneigteden Himmel/ vund fuhr herab";"Erdbeben, Donner, Hagel, Blitze, Wind";""
"Matth. 25";"Mt 25,21";"Ey du frommer vnnd getrewer Knecht";"";""
"Proverb. 25. cap.";"Spr 25,11";"Ein wort geredt zu seiner zeit";"";""
"Buch Job cap. i";"Hiob 1,16-19";"das Fewr schrecklich auß den Wolcken geschossen";"Feuer, Sturmwind";""
"78. Psalm";"Ps 78,49";"Gott selbsten die bösen Engel in Aegypten gesand";"";""
"Exod. 8";"Ex 8,14";"nicht eine Lauß herfur zubringen";"";""
"Matth. 8. cap.";"Mt 8,30-32";"Oder eine Saw zubeschedigen";"";""
"Exod. 22";"Ex 22,17";"Die Zeyberinnen soltu nicht Leben lassen";"";""
"Leuft. 20";"Lev 20,27";"Mann oder ein Weib ein Zeuberer wird";"";"⚠️ Schreibfehler 'Leuft.' statt 'Leuit.' (Leviticus)"
"Joh historia am 37. cap.";"Hiob 37,2-5";"Lieber hörrt doch / wie sein Doner zuͤrnet";"Donner, Blitz";"⚠️ Falsche Zuschreibung 'Joh' (Evangelium?) statt 'Job/Hiob'"
"Syrach cap. 40";"Sir 40,9-10";"Fewr / Hagel / Hunger vnd Todt";"Feuer, Hagel";""
"Propheten Hagg. cap. 2";"Hag 2,17";"plage eisch mit der duͤrre / mit brandkorn ond mit Hagel";"Dürre, Hagel";""
"Exod. 9";"Ex 9,23-25";"lassen Donner vnd HAGEN";"Donner, Hagel";""
"1. Saimmel 12";"1 Sam 12,17-18";"zur vngewönlichen zeitdonnern vnd Regen kömmen";"Donner, Regen";"⚠️ Schreibfehler 'Saimmel' statt 'Samuel'"
"Jos. 10";"Jos 10,11";"Felt ein Hägel / Dadurch mehr Feinde erlegt";"Hagel";""
"Genesis 19";"Gen 19,24";"Fewt vnd Schweffel von Hunmel regnete";"Feuer, Schwefelregen";""
"Exod. 9";"Ex 9,26";"do der Hagel in Aegypten fast alles erschlug";"Hagel";""
"Pfalm. 7";"Ps 7,12-14";"Gott ist ein rechter Richter / vund ein Gott der taͤglich drewvet";"";""
"Gen. 7";"Gen 7";"Exempel haben an der Sündfluth";"Sündflut, Regen";""
"Gen. 19";"Gen 19,24";"Jtem an Sodom vnd Gomorra";"Feuer, Schwefel";""
"Esaigs c. ult.";"Jes 66,15";"Der HErr wird kommen mit Fewr / vid seine Wagen wie ein Fewvr";"Feuer, Sturm";"⚠️ Schreibfehler 'Esaigs' statt 'Esaias'"
"2. Thess.1";"2 Thess 1,7-8";"offenbahret werden vom Himmel... mit Fewrflammen";"Feuer";""
"2. c. 3";"2 Petr 3,10";"Himmel zergehen werden mit krachen/ die Element werden für Feivroder Hitze zerschmeltzen";"Feuer, Hitze";""
"Joh. 9";"Joh 9,31";"Den die Sünder ethöret Gött nicht";"";""
"Jacob 5";"Jak 5,16";"Das gebet aber des Gerechten vernag viel";"";""
"Matth. 8";"Mt 8,24-26";"ein gewaltiger Sturin ond Wirbelwind";"Sturm, Wirbelwind";""
