"Angabe_im_Text";"Normalisierte_Stelle";"Kurzzitat";"Wetterphänomen";"Konflikt"
"Hiobs v. 5";"Hiob 37,5";"Gott donnert mit seinem Donner grewlich";"Donner";""
"Jerem. 1. v. 9";"Jer 1,9";"muss mich immer mit euch vnd mit ewren Kinds Kindern schelten";"";"⚠️ Text verweist auf 'Jeremia am andern' (Jer 2), Randnotiz auf Jer 1,9"
"Hosea im 4.";"Hos 4,1";"Der HERR hat vrsache zu schelten";"";""
"Gesekiel am 5.";"Ez 5,15";"Wenn Ich uber dich das Recht gehen lasse mit Zorn";"";""
"Micha am 6.";"Mi 6,1-2";"Doret jhr Berge / wie der HERR straffen wil";"";""
"Matthei am 11.";"Mt 11,20";"Also schalt der HERR Christus die Städte";"";""
"Warci am 16.";"Mk 16,14";"Also schalt Er auch den Vnglauben";"";""
"Jesala am 51.";"Jes 51,19-20";"Da war Verstörung / Schaden / Hunger vund Schwerdt";"";""
"Assaph im 76. Psalm";"Ps 76,7-8";"Von deinem schelten / Gott Jacob / sincket in schlaff";"";""
"Jesaia am 50.";"Jes 50,2";"Sihe / mit meinem schelten mache Ich das Meer trocken";"";""
"18. Psalm";"Ps 18,8-16";"Des Erdbodens Grund ward auffgedeckt";"Donner, Wind";""
"2. Buch Sam. am 22. Cap.";"2 Sam 22,8-16";"von dem Schnauben seiner Nasen";"Donner, Sturm";""
"Habacuc im 3.";"Hab 2,11";"daß auch die Steine in der Mawren schreyen";"";"⚠️ Zitat steht in Habakuk 2,11, nicht Kapitel 3"
"Job. 41.";"Hiob 32-37";"dessen Rede nicht / wie der ersten dreye seiner Freunde / getadelt";"";"⚠️ Elihus Reden enden in Hiob 37; Kapitel 41 behandelt den Leviathan"
"29. Psalm";"Ps 29,3";"Der Gott der Ehren donnert";"Donner";""
"Hiob am 40.";"Job 40,9";"kanstu mit gleicher Stimme donnern";"Donner";""
"Hiob am 26.";"Job 26,14";"wer wil den Donner seiner Macht verstehen?";"Donner";""
"68. Psalm";"Ps 68,34-35";"seine Macht ist in den Wolcken";"Donner";""
