"Angabe_im_Text";"Normalisierte_Stelle";"Kurzzitat";"Wetterphänomen";"Konflikt"
"2. Buch Samuelis im 1. Cap.";"2 Sam 1,26";"Es ist mir Leid umb dich / mein Bruder Jonathan";;;
"2. Sam. 1. 26";"2 Sam 1,26";"deine Liebe ist mir sonderlich gewesen";;;
"1. Sam. 3. 11";"1 Sam 3,11";"ein Ding ... einem beyde Ohren davon gellen moͤgten";;;
"2. Reg. 21. 12";"2 Kön 21,12";"daß wer es hoͤret / einem beyde Ohren gellen";;;
"Syr. 25. 18";"Sir 25,17";"Ein Hertzleid über alles Wehe";;;
"Ps. 90. 4";"Ps 90,3";"der die Menschen laͤsset sterben";;"⚠️ Text entspricht Vers 3 statt 4"
"Prediger-Buche ... im 9. Cap. v. 12";"Pred 9,12";"Der Mensch weiß seine Zeit nicht";;;
"Jacobus ... im 4. Cap.";"Jak 4,13-15";"Heute oder Morgen wollen wir gehen";;"⚠️ Randglosse sagt Jak 4,1 statt 4,13"
"Sap. 9. 14";"sh. Weish 9,14";"Der sterblichen Menschen Gedancken sind mißlich";;;
"146. Psalm";"Ps 146,4";"des Menschen Geist muß davon";;;
"Prov. 16. 9";"Spr 16,9";"Des Menschen Hertz schlaͤgt seinen Weg an";;;
"Eccles 1. 8";"Pred 1,8";"Das Auge siehet sich nimmer satt";;;
"Sap. 3. 2, 3";"sh. Weish 3,2-3";"Für den Unverstaͤndigen werden sie angesehen / als stürben sie";;;
"Eccl. 3. 1. 2";"Pred 3,1-2";"Jnjegliches hat seine Zeit ... auch sterben";;;
"Hiob. 14. 5";"Hiob 14,5";"Er / der Mensch / hat seine bestimpte Zeit";;;
"2. Sam. 7. 12";"2 Sam 7,12";"Wann nun deine Zeit hin ist";;;
"Matth. 26";"Mt 26,18";"Meine Zeit ist hie";;;
"Eccles. 9. 11";"Pred 9,11";"alles liegt es an der Zeit und Glück";;;
"Jerem. 10. 23";"Jer 10,23";"des Menschen Thun stehet nicht in seiner Gewalt";;;
"Esaia im 38. Cap.";"Jes 38,1";"Bestelle dein Hauß / denn du wirst sterben";;;
"2. Tim. 4. 6";"2 Tim 4,6";"die Zeit meines Abscheidens ist vorhanden";;;
"Jerem. 8. 7";"Jer 8,7";"Ein Storch ... weiß seine Zeit";;;
"Es 28. 15";"Jes 28,15";"daß wir mit dem Tode einen Bund ... gemacht";;;
"Luc. 12. 16 & seqq.";"Lk 12,16-21";"große Rechnung auff viel Jahre machen";;;
"Brieffes an die ... Juden im 9. Cap.";"Hebr 9,27";"dem Menschen gesetzt einmahl zu sterben";;"⚠️ Hebräerbrief wird als 'Brief an die Juden' zitiert"
"Eccles 11. 3";"Pred 11,3";"Wenn der Baum fällt ... da wird er ligen";;;
"Luc. 7. 22";"Lk 7,12";"Jüngling herauß trägt / der ein einiger Sohn";;"⚠️ Geschichte steht in Lk 7,12 statt 22"
"Jud. 16. 30";"Ri 16,30";"Wann auch Simson elendig umbkompt";;;
"2. Sam. 12. 14";"2 Sam 18,14";"Absolon wunderlich sein Leben endet";;"⚠️ Absoloms Tod steht in Kap. 18 statt 12"
"Luc 16. 22";"Lk 16,22";"Wann auch der Reiche Ninensis sterben muß";;;
"Marc. 13. 37";"Mk 13,37";"Wachet / sage ich mit Christo";;;
"Matth. 24. 42";"Mt 24,42";"Wachet / denn ihr wisset nicht";;;
"Phil. 2. 12";"Phil 2,12";"Schaffet / daß ihr selig werdet mit Furcht und Zittern";;;
"Ps. 39. 6";"Ps 39,5-6";"HErr lehre doch mich / das ein Ende mit mir haben muß";;;
"Ps. 90. 13";"Ps 90,12";"Lehre uns bedencken / daß wir sterben muͤssen";;"⚠️ Text entspricht Vers 12 statt 13"
