SERMON_SLUG,CITATION_RAW,CITATION,BOOK_SLUG,CHAPTER,VERSE,API_URL
1556-roerer-ein-predig-von,Hiob am 32,Job 32,job,32,,https://cdn.jsdelivr.net/gh/wldeh/bible-api/bibles/en-kjv/books/job/chapters/32.json
1556-roerer-ein-predig-von,Hiob am 1,Job 1,job,1,,https://cdn.jsdelivr.net/gh/wldeh/bible-api/bibles/en-kjv/books/job/chapters/1.json
1556-roerer-ein-predig-von,Hiob 38,Job 38,job,38,,https://cdn.jsdelivr.net/gh/wldeh/bible-api/bibles/en-kjv/books/job/chapters/38.json
1556-roerer-ein-predig-von,Exodiam 9,Exodus 9,exodus,9,,https://cdn.jsdelivr.net/gh/wldeh/bible-api/bibles/en-kjv/books/exodus/chapters/9.json
1556-roerer-ein-predig-von,Exod: 20,Exodus 20,exodus,20,,https://cdn.jsdelivr.net/gh/wldeh/bible-api/bibles/en-kjv/books/exodus/chapters/20.json
1556-roerer-ein-predig-von,Matth 22,Matt 22,matthew,22,,https://cdn.jsdelivr.net/gh/wldeh/bible-api/bibles/en-kjv/books/matthew/chapters/22.json
1556-roerer-ein-predig-von,Hiob am 36,Job 36,job,36,,https://cdn.jsdelivr.net/gh/wldeh/bible-api/bibles/en-kjv/books/job/chapters/36.json
1556-roerer-ein-predig-von,Mose im 9,Genesis 9,genesis,9,,https://cdn.jsdelivr.net/gh/wldeh/bible-api/bibles/en-kjv/books/genesis/chapters/9.json
1556-roerer-ein-predig-von,Deut. 28,Deuteronomy 28,deuteronomy,28,,https://cdn.jsdelivr.net/gh/wldeh/bible-api/bibles/en-kjv/books/deuteronomy/chapters/28.json
1556-roerer-ein-predig-von,Amos am 2,Amos 2,amos,2,,https://cdn.jsdelivr.net/gh/wldeh/bible-api/bibles/en-kjv/books/amos/chapters/2.json
1556-roerer-ein-predig-von,Micha Cap. 6,Mic 6,micah,6,,https://cdn.jsdelivr.net/gh/wldeh/bible-api/bibles/en-kjv/books/micah/chapters/6.json
1556-roerer-ein-predig-von,Hiob am 3,Job 3,job,3,,https://cdn.jsdelivr.net/gh/wldeh/bible-api/bibles/en-kjv/books/job/chapters/3.json
1556-roerer-ein-predig-von,der 50. Psalm,Ps 50,psalms,50,,https://cdn.jsdelivr.net/gh/wldeh/bible-api/bibles/en-kjv/books/psalms/chapters/50.json
1556-roerer-ein-predig-von,Johan. 9,John 9,john,9,,https://cdn.jsdelivr.net/gh/wldeh/bible-api/bibles/en-kjv/books/john/chapters/9.json
1556-roerer-ein-predig-von,5. buch Mose am 28,Deuteronomy 28,deuteronomy,28,,https://cdn.jsdelivr.net/gh/wldeh/bible-api/bibles/en-kjv/books/deuteronomy/chapters/28.json
1565-alber-eine-summa-etlicher,Deut. 28,Deuteronomy 28,deuteronomy,28,,https://cdn.jsdelivr.net/gh/wldeh/bible-api/bibles/en-kjv/books/deuteronomy/chapters/28.json
1565-alber-eine-summa-etlicher,Psal. 18,Ps 18,psalms,18,,https://cdn.jsdelivr.net/gh/wldeh/bible-api/bibles/en-kjv/books/psalms/chapters/18.json
1565-alber-eine-summa-etlicher,Psal. 148,Ps 148,psalms,148,,https://cdn.jsdelivr.net/gh/wldeh/bible-api/bibles/en-kjv/books/psalms/chapters/148.json
1565-alber-eine-summa-etlicher,Hiob 38,Job 38,job,38,,https://cdn.jsdelivr.net/gh/wldeh/bible-api/bibles/en-kjv/books/job/chapters/38.json
1565-alber-eine-summa-etlicher,8. Psalm,Ps 8,psalms,8,,https://cdn.jsdelivr.net/gh/wldeh/bible-api/bibles/en-kjv/books/psalms/chapters/8.json
1565-alber-eine-summa-etlicher,Josue 10,Joshua 10,joshua,10,,https://cdn.jsdelivr.net/gh/wldeh/bible-api/bibles/en-kjv/books/joshua/chapters/10.json
1565-alber-eine-summa-etlicher,Haggai 2,Hag 2,haggai,2,,https://cdn.jsdelivr.net/gh/wldeh/bible-api/bibles/en-kjv/books/haggai/chapters/2.json
1565-alber-eine-summa-etlicher,Matth. 10,Matt 10,matthew,10,,https://cdn.jsdelivr.net/gh/wldeh/bible-api/bibles/en-kjv/books/matthew/chapters/10.json
1565-alber-eine-summa-etlicher,Psalm. 104,Ps 104,psalms,104,,https://cdn.jsdelivr.net/gh/wldeh/bible-api/bibles/en-kjv/books/psalms/chapters/104.json
1565-alber-eine-summa-etlicher,Hebr. 1,Heb 1,hebrews,1,,https://cdn.jsdelivr.net/gh/wldeh/bible-api/bibles/en-kjv/books/hebrews/chapters/1.json
1565-alber-eine-summa-etlicher,78. Psalm,Ps 78,psalms,78,,https://cdn.jsdelivr.net/gh/wldeh/bible-api/bibles/en-kjv/books/psalms/chapters/78.json
1565-alber-eine-summa-etlicher,Ephes. 2,Eph 2,ephesians,2,,https://cdn.jsdelivr.net/gh/wldeh/bible-api/bibles/en-kjv/books/ephesians/chapters/2.json
1565-alber-eine-summa-etlicher,Tit. 18,Titus 18,titus,18,,https://cdn.jsdelivr.net/gh/wldeh/bible-api/bibles/en-kjv/books/titus/chapters/18.json
