SERMON_SLUG,JSON_FILE,WEATHER_PHENOMENON
1556-roerer-ein-predig-von,1556_Rörer_Ein_Predig_von_dem_Leüten_gegen_das_wetter.json,Wetter
1556-roerer-ein-predig-von,1556_Rörer_Ein_Predig_von_dem_Leüten_gegen_das_wetter.json,Witterung/Gewitter
1556-roerer-ein-predig-von,1556_Rörer_Ein_Predig_von_dem_Leüten_gegen_das_wetter.json,Winter
1556-roerer-ein-predig-von,1556_Rörer_Ein_Predig_von_dem_Leüten_gegen_das_wetter.json,Regen/Blutregen/Regenbogen
1556-roerer-ein-predig-von,1556_Rörer_Ein_Predig_von_dem_Leüten_gegen_das_wetter.json,Dürre
1556-roerer-ein-predig-von,1556_Rörer_Ein_Predig_von_dem_Leüten_gegen_das_wetter.json,Hagel
1556-roerer-ein-predig-von,1556_Rörer_Ein_Predig_von_dem_Leüten_gegen_das_wetter.json,Flut
1556-roerer-ein-predig-von,1556_Rörer_Ein_Predig_von_dem_Leüten_gegen_das_wetter.json,Wasser
1565-alber-eine-summa-etlicher,1565_Alber_Ein_Summa_etlicher_Predigen_von_Hagel_und_Unholden_gethon_in_der_Pfarkirch_zuo_S.json,Witterung/Gewitter
1565-alber-eine-summa-etlicher,1565_Alber_Ein_Summa_etlicher_Predigen_von_Hagel_und_Unholden_gethon_in_der_Pfarkirch_zuo_S.json,Finsternuß/Finsternis
1565-alber-eine-summa-etlicher,1565_Alber_Ein_Summa_etlicher_Predigen_von_Hagel_und_Unholden_gethon_in_der_Pfarkirch_zuo_S.json,Schnee
1565-alber-eine-summa-etlicher,1565_Alber_Ein_Summa_etlicher_Predigen_von_Hagel_und_Unholden_gethon_in_der_Pfarkirch_zuo_S.json,Dürre
1565-alber-eine-summa-etlicher,1565_Alber_Ein_Summa_etlicher_Predigen_von_Hagel_und_Unholden_gethon_in_der_Pfarkirch_zuo_S.json,Hagel
1565-alber-eine-summa-etlicher,1565_Alber_Ein_Summa_etlicher_Predigen_von_Hagel_und_Unholden_gethon_in_der_Pfarkirch_zuo_S.json,Schlossen/Schloßen
1565-alber-eine-summa-etlicher,1565_Alber_Ein_Summa_etlicher_Predigen_von_Hagel_und_Unholden_gethon_in_der_Pfarkirch_zuo_S.json,Wasser
1566-rorer-eine-predigt-von,1566_Rorer_Eine_Predigt_von_dem_Leuten_gegen_das_Wetter.json,Wetter
1566-rorer-eine-predigt-von,1566_Rorer_Eine_Predigt_von_dem_Leuten_gegen_das_Wetter.json,Winter
1566-rorer-eine-predigt-von,1566_Rorer_Eine_Predigt_von_dem_Leuten_gegen_das_Wetter.json,Regen/Blutregen/Regenbogen
1566-rorer-eine-predigt-von,1566_Rorer_Eine_Predigt_von_dem_Leuten_gegen_das_Wetter.json,Hagel
1566-rorer-eine-predigt-von,1566_Rorer_Eine_Predigt_von_dem_Leuten_gegen_das_Wetter.json,Sommer
1566-rorer-eine-predigt-von,1566_Rorer_Eine_Predigt_von_dem_Leuten_gegen_das_Wetter.json,Wasser
1571-lavater-von-thuewre-vn,1571_Lavater_Von_Thüwre_und_Hunger_dry_Predigen.json,Witterung/Gewitter
1571-lavater-von-thuewre-vn,1571_Lavater_Von_Thüwre_und_Hunger_dry_Predigen.json,Wind
1571-lavater-von-thuewre-vn,1571_Lavater_Von_Thüwre_und_Hunger_dry_Predigen.json,Winter
1571-lavater-von-thuewre-vn,1571_Lavater_Von_Thüwre_und_Hunger_dry_Predigen.json,Frost
1571-lavater-von-thuewre-vn,1571_Lavater_Von_Thüwre_und_Hunger_dry_Predigen.json,Schnee
1571-lavater-von-thuewre-vn,1571_Lavater_Von_Thüwre_und_Hunger_dry_Predigen.json,Dürre
1571-lavater-von-thuewre-vn,1571_Lavater_Von_Thüwre_und_Hunger_dry_Predigen.json,Hagel
1571-lavater-von-thuewre-vn,1571_Lavater_Von_Thüwre_und_Hunger_dry_Predigen.json,kalt
1571-lavater-von-thuewre-vn,1571_Lavater_Von_Thüwre_und_Hunger_dry_Predigen.json,heiß
1571-lavater-von-thuewre-vn,1571_Lavater_Von_Thüwre_und_Hunger_dry_Predigen.json,Schlossen/Schloßen
1571-lavater-von-thuewre-vn,1571_Lavater_Von_Thüwre_und_Hunger_dry_Predigen.json,Wasser
1589-alber-eine-summa-etlicher,1589_Alberum_Bidenbach_Ein_Summa_etlicher_Predigen_vom_Hagel_un.json,Finsternuß/Finsternis
1589-alber-eine-summa-etlicher,1589_Alberum_Bidenbach_Ein_Summa_etlicher_Predigen_vom_Hagel_un.json,Regen/Blutregen/Regenbogen
1589-alber-eine-summa-etlicher,1589_Alberum_Bidenbach_Ein_Summa_etlicher_Predigen_vom_Hagel_un.json,Schnee
1589-alber-eine-summa-etlicher,1589_Alberum_Bidenbach_Ein_Summa_etlicher_Predigen_vom_Hagel_un.json,Hagel
1589-alber-eine-summa-etlicher,1589_Alberum_Bidenbach_Ein_Summa_etlicher_Predigen_vom_Hagel_un.json,Schlossen/Schloßen
1589-alber-eine-summa-etlicher,1589_Alberum_Bidenbach_Ein_Summa_etlicher_Predigen_vom_Hagel_un.json,Wasser
1599-fabricius-christliche-predigt-von,1599_Fabricius_Christliche_Predigt_von_den_grossen_vnd_kleinen_Bäumen.json,Wind
1599-fabricius-christliche-predigt-von,1599_Fabricius_Christliche_Predigt_von_den_grossen_vnd_kleinen_Bäumen.json,Regen/Blutregen/Regenbogen
1599-fabricius-christliche-predigt-von,1599_Fabricius_Christliche_Predigt_von_den_grossen_vnd_kleinen_Bäumen.json,Nebel
1599-fabricius-christliche-predigt-von,1599_Fabricius_Christliche_Predigt_von_den_grossen_vnd_kleinen_Bäumen.json,Kälte
1599-fabricius-christliche-predigt-von,1599_Fabricius_Christliche_Predigt_von_den_grossen_vnd_kleinen_Bäumen.json,Schnee
1613-schilling-vier-predigten-von,1613_Conciones_de_tempore_3__Predigt_Schnee.json,Wetter
1613-schilling-vier-predigten-von,1613_Conciones_de_tempore_3__Predigt_Schnee.json,Wind
1613-schilling-vier-predigten-von,1613_Conciones_de_tempore_3__Predigt_Schnee.json,Finsternuß/Finsternis
1613-schilling-vier-predigten-von,1613_Conciones_de_tempore_3__Predigt_Schnee.json,Winter
1613-schilling-vier-predigten-von,1613_Conciones_de_tempore_3__Predigt_Schnee.json,Regen/Blutregen/Regenbogen
1613-schilling-vier-predigten-von,1613_Conciones_de_tempore_3__Predigt_Schnee.json,Komet/Comet
1613-schilling-vier-predigten-von,1613_Conciones_de_tempore_3__Predigt_Schnee.json,Frost
1613-schilling-vier-predigten-von,1613_Conciones_de_tempore_3__Predigt_Schnee.json,Schnee
1613-schilling-vier-predigten-von,1613_Conciones_de_tempore_3__Predigt_Schnee.json,Dürre
1613-schilling-vier-predigten-von,1613_Conciones_de_tempore_3__Predigt_Schnee.json,Hagel
1613-schilling-vier-predigten-von,1613_Conciones_de_tempore_3__Predigt_Schnee.json,Hitze
1613-schilling-vier-predigten-von,1613_Conciones_de_tempore_3__Predigt_Schnee.json,Flut
1613-schilling-vier-predigten-von,1613_Conciones_de_tempore_3__Predigt_Schnee.json,Frühling/Frühjahr/Lenz
1613-schilling-vier-predigten-von,1613_Conciones_de_tempore_3__Predigt_Schnee.json,kalt
1613-schilling-vier-predigten-von,1613_Conciones_de_tempore_3__Predigt_Schnee.json,heiß
1613-schilling-vier-predigten-von,1613_Conciones_de_tempore_3__Predigt_Schnee.json,Schlossen/Schloßen
1613-schilling-vier-predigten-von,1613_Conciones_de_tempore_3__Predigt_Schnee.json,Wasser
1613-schilling-vier-predigten-von,1613_Conciones_de_tempore_3__Predigt_Schnee.json,Sonne
1616-titius-eine-christliche-und,1616_Titius_Predigt_Vom_Donner_Hagel_und_Blitzen.json,Wetter
1616-titius-eine-christliche-und,1616_Titius_Predigt_Vom_Donner_Hagel_und_Blitzen.json,Witterung/Gewitter
1616-titius-eine-christliche-und,1616_Titius_Predigt_Vom_Donner_Hagel_und_Blitzen.json,Wind
1616-titius-eine-christliche-und,1616_Titius_Predigt_Vom_Donner_Hagel_und_Blitzen.json,Winter
1616-titius-eine-christliche-und,1616_Titius_Predigt_Vom_Donner_Hagel_und_Blitzen.json,Regen/Blutregen/Regenbogen
1616-titius-eine-christliche-und,1616_Titius_Predigt_Vom_Donner_Hagel_und_Blitzen.json,Kälte
1616-titius-eine-christliche-und,1616_Titius_Predigt_Vom_Donner_Hagel_und_Blitzen.json,Dürre
1616-titius-eine-christliche-und,1616_Titius_Predigt_Vom_Donner_Hagel_und_Blitzen.json,Hagel
1616-titius-eine-christliche-und,1616_Titius_Predigt_Vom_Donner_Hagel_und_Blitzen.json,Hitze
