CITY,PERIOD,POSITION,CODING
Regensburg,1551,Regensburg,cloud cover
Regensburg,1551,Regensburg,price & kind of goods & plants
Regensburg,1551,Regensburg,temperature level
Regensburg,1551,Regensburg,price & kind of goods & plants
Regensburg,1551,Regensburg,temperature level
Regensburg,1551,Regensburg,temperature level
Regensburg,1552-01,Regensburg,price & kind of goods & plants
Regensburg,1552-01,Regensburg,price & kind of goods & plants
Regensburg,1552-01,Regensburg,grain & general development & overall...
Regensburg,1552-01-08,Regensburg,wind force
Regensburg,1552-01-08,Regensburg,wind force
Regensburg,1552-01-13 11:00,Amberg,thunderstorm
Regensburg,1552-02-15,Regensburg,wind force
Regensburg,1552-06,Regensburg,longterm
Regensburg,1552-06,Regensburg,temperature level
Regensburg,1552-06,Regensburg,longterm
Regensburg,1552-06,Regensburg,temperature level
Regensburg,1552-06-05 18:00,Regensburg,thunderstorm
Regensburg,1552-06-21,Regensburg,harvest & grain & begin
Regensburg,1552-06-29,Regensburg,hail
Regensburg,1552-06-29,Regensburg,hail
Regensburg,1552-06-29,Regensburg,temperature level
Regensburg,1552-06-29,Regensburg,price & kind of goods & plants
Regensburg,1552-06-29,Regensburg,wind force
Regensburg,1552-07-01,Regensburg,wind force
Regensburg,1552-07-01,Regensburg,wind force
Regensburg,1552-07-20,Regensburg,thunderstorm
Regensburg,1552-08-01,Regensburg,wine & general development & overall...
Regensburg,1552-09,Regensburg,temperature level
Regensburg,1552-09,Regensburg,wind force
Regensburg,1552-09,Regensburg,rain
Regensburg,1553-02-26,Regensburg,temperature level
Regensburg,1553-02-26,Regensburg,temperature level
Regensburg,1553-02-26,Regensburg,snow & shortterm
Regensburg,1553-02-26,Regensburg,snow & shortterm
Regensburg,1553-03-01,Regensburg,snow & shortterm
Regensburg,1553-03-01,Regensburg,temperature level
Regensburg,1553-03-01,Regensburg,freezing temperatures
Regensburg,1553-03-01,Regensburg,temperature level
Regensburg,1553-03-01,Regensburg,freezing temperatures
Regensburg,1553-04-24,Regensburg,snow
Regensburg,1553-04-26,Regensburg,snow
Regensburg,1553-04-26,Regensburg,freezing temperatures
Regensburg,1553-05-18,Regensburg,hail
Regensburg,1553-05-18 14:00,Regensburg,rain & shortterm
Regensburg,1553-05-18 14:00,Regensburg,rain & shortterm
Regensburg,1553-05-18 14:00,Regensburg,wind direction
Regensburg,1553-05-18 14:00,Regensburg,hail
Regensburg,1553-05-18 18:00,Regensburg,cloud cover
Regensburg,1553-05-18 18:00,Regensburg,thunderstorm
Regensburg,1553-05-18 18:00,Regensburg,temperature level
Regensburg,1553-05-18 18:00,Regensburg,rain & shortterm
Regensburg,1553-05-18 18:00,Regensburg,hail & thunderstorm
Regensburg,1554-02-04,Regensburg,temperature level
